lat,lon,population
-33.37,-70.74,10819.132316632265
-33.37,-70.73,8133.777887823184
-33.37,-70.72,20519.51542256132
-33.37,-70.71,7661.070906625285
-33.37,-70.7,2876.663343497765
-33.37,-70.69,10002.942921243623
-33.37,-70.68,8203.357882409866
-33.37,-70.67,11068.190295163531
-33.37,-70.66,5119.762407119534
-33.37,-70.65,6141.154264826426
-33.37,-70.63,17059.651138626505
-33.37,-70.62,274.2737657268624
-33.37,-70.61,241.281818920002
-33.37,-70.58,3635.084062989252
-33.37,-70.56,1554.3494521965479
-33.37,-70.55,929.178633797062
-33.37,-70.54,1158.6059115205903
-33.37,-70.53,1483.269613235737
-33.37,-70.52,5147.156080732542
-33.37,-70.51,7389.128659886927
-33.37,-70.48,1232.9869991330122
-33.36,-70.75,35457.290773527726
-33.36,-70.74,26210.249525019546
-33.36,-70.73,13397.064732911504
-33.36,-70.7,425.6770580741315
-33.36,-70.68,10776.25636713107
-33.36,-70.63,9849.437598987175
-33.36,-70.54,1496.7497258592632
-33.36,-70.53,5439.9765038542155
-33.36,-70.52,8082.0933012660225
-33.36,-70.51,6407.377445179176
-33.36,-70.5,8197.002108843933
-33.36,-70.49,3720.7807539517544
-33.36,-70.48,1987.6893742430539
-33.35,-70.75,13577.299709795216
-33.35,-70.73,13806.46656838453
-33.35,-70.72,16223.472555652224
-33.35,-70.71,2839.856479035862
-33.35,-70.69,7913.9260478220585
-33.35,-70.67,8211.702440281519
-33.35,-70.52,4680.95851223621
-33.35,-70.51,5942.9834333166655
-33.34,-70.74,1273.6360202603526
-33.34,-70.71,50.46677497696977
-33.34,-70.7,126.1377538472121
-33.34,-70.67,1231.3232707412467
-33.34,-70.53,1281.1646824108407
-33.34,-70.51,13959.13948043234
-33.34,-70.5,5966.055169291953
-33.34,-70.49,3425.4181442489908
-33.34,-70.48,913.839023155414
-33.34,-70.47,1350.0333856941497
-33.33,-70.73,165.56832292164788
-33.33,-70.72,57.06335947469538
-33.33,-70.71,97.48494061994813
-33.33,-70.54,996.9319221268852
-33.33,-70.53,8597.942781165195
-33.31,-70.54,55.83974795461762
